post,post_type,model_role,date
"I am not revealing the location of this stupendous beach, as I don't want other people to travel here, which would ruin my experience. The main point is, I'm having a better time than you.",post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:08:14.339129
It took absolutely ages to get to work today. The traffic was a nightmare.,post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:08:17.250679
Time travelling in thf future and back in time,post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:08:26.457755
"I cant believe i have to travel to work everyday where i have to walk for 40 minutes at 7am. I dont mind doing it if the weather is okay but when its cold or wet, i dont want to do it. ALthough it is my only form of exercise.",post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:19:44.712186
"I am not revealing the location of this stupendous beach, as I don't want other people to travel here, which would ruin my experience. The main point is, I'm having a better time than you.",post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:19:52.950940
It took absolutely ages to get to work today. The traffic was a nightmare.,post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:19:56.491458
what an amazing time I had on holiday the weather was perfect and the beaches were golden and unspoiled. The food was to die for an drink was reasoably priced so it was an unforgettable week. It was a fare distance to travel too but worth every moment and penny..,post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:20:03.347133
Time travelling in thf future and back in time,post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:20:06.168768
"Long drives are the best! Could do without the shitty British weather though, it is bloody freezing!",post_travel,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:20:08.839057
Tory cunts can fuck off. Retroactive abortions for every Tory MP.,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:29:51.047673
You cannot take someone's right to their own body!,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:29:58.205090
This is something I would prefer not to comment on,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:30:01.058974
Not a good look.,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 12:30:05.975199
Tory cunts can fuck off. Retroactive abortions for every Tory MP.,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 13:03:51.274500
I'm so angry that abortion has been banned in this country - it should be up to the woman to choose what she wants!,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 13:04:01.327969
"The government decision is disgraceful, no government body, no state, no person has the right to tell you what should be done with be allowed to dictate how you should live your life and what you choose to do! The decision is yours to make!",post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 13:04:13.037694
Not a good look.,post_abortion,You are a psychologist and you are assessing a patient's Narcissism. The patient is talking about their recent travel. Return only float number between 1 and 6.,2024-04-07 13:04:35.964389
